51.598214,-0.074844, 20, 20, 120, 50, 21.358f
51.597654,-0.074115, 20, 20, 120, 50, 21.358f
51.597014,-0.073214, 20, 20, 120, 50, 21.358f
51.596215,-0.072484, 20, 20, 120, 50, 21.358f
51.595682,-0.071669, 20, 20, 120, 50, 21.358f
51.594962,-0.07081, 20, 20, 120, 50, 21.358f
51.594642,-0.070252, 20, 20, 120, 50, 21.358f
51.594082,-0.069695, 20, 20, 120, 50, 21.358f
51.593362,-0.069523, 20, 20, 120, 50, 21.358f
51.592922,-0.069931, 20, 20, 120, 50, 21.358f
51.592296,-0.070038, 20, 20, 120, 50, 21.358f
51.591789,-0.070038, 20, 20, 120, 50, 21.358f
51.591123,-0.070059, 20, 20, 120, 50, 21.358f
51.590456,-0.070081, 20, 20, 120, 50, 21.358f
51.589723,-0.070295, 20, 20, 120, 50, 21.358f
51.589136,-0.070338, 20, 20, 120, 50, 21.358f
51.58863,-0.070531, 20, 20, 120, 50, 21.358f
51.588603,-0.07169, 20, 20, 120, 50, 21.358f
51.58867,-0.072935, 20, 20, 120, 50, 21.358f
51.58899,-0.074136, 20, 20, 120, 50, 21.358f
51.589243,-0.074995, 20, 20, 120, 50, 21.358f
51.589323,-0.075831, 20, 20, 120, 50, 21.358f
51.58947,-0.076969, 20, 20, 120, 50, 21.358f
51.58931,-0.07787, 20, 20, 120, 50, 21.358f
51.589256,-0.078814, 20, 20, 120, 50, 21.358f
