45.521323,-122.685828, 20, 20, 120, 50
45.522435,-122.685957, 20, 20, 120, 50
45.523698,-122.686386, 20, 20, 120, 50
45.525081,-122.686729, 20, 20, 120, 50
45.525141,-122.684927, 20, 20, 120, 50
45.525172,-122.683725, 20, 20, 120, 50
45.525202,-122.682781, 20, 20, 120, 50
45.525172,-122.681279, 20, 20, 120, 50
45.525232,-122.679691, 20, 20, 120, 50
45.525292,-122.678661, 20, 20, 120, 50
45.525262,-122.677159, 20, 20, 120, 50
45.523728,-122.677288, 20, 20, 120, 50
45.52454,-122.677417, 20, 20, 120, 50
45.523728,-122.677288, 20, 20, 120, 50
45.523007,-122.677288, 20, 20, 120, 50
45.523037,-122.676516, 20, 20, 120, 50
45.523127,-122.6754, 20, 20, 120, 50
45.523187,-122.673597, 20, 20, 120, 50
45.523247,-122.67158, 20, 20, 120, 50
45.523127,-122.670507, 20, 20, 120, 50
45.523067,-122.668405, 20, 20, 120, 50
45.523127,-122.667375, 20, 20, 120, 50
45.523007,-122.665529, 20, 20, 120, 50
45.523939,-122.664971, 20, 20, 120, 50
45.524721,-122.664199, 20, 20, 120, 50
45.525232,-122.662826, 20, 20, 120, 50
45.525412,-122.661796, 20, 20, 120, 50
45.525683,-122.660637, 20, 20, 120, 50
45.526224,-122.659349, 20, 20, 120, 50
45.527036,-122.657804, 20, 20, 120, 50
45.527727,-122.656131, 20, 20, 120, 50
45.528449,-122.653642, 20, 20, 120, 50
45.527532,-122.653556, 20, 20, 120, 50
45.526855,-122.653577, 20, 20, 120, 50
45.525547,-122.653577, 20, 20, 120, 50
45.524826,-122.653685, 20, 20, 120, 50
45.524074,-122.65362, 20, 20, 120, 50
45.523518,-122.65362, 20, 20, 120, 50
45.522932,-122.65362, 20, 20, 120, 50
45.522902,-122.654511, 20, 20, 120, 50
45.522601,-122.654672, 20, 20, 120, 50
45.522135,-122.654597, 20, 20, 120, 50
